,LSOA code,LSOA name (Eng),WIMD 2025 overall quintile,population,households,average_household_size,air_quality,congestion,dampness,diet_change,excess_cold,excess_heat,hassle_costs,noise,physical_activity,road_repairs,road_safety,sum
89,W01001788,Llandaff North 4,1,1601,626,2.56,1.129292279,0.0,0.018431736,0.119962137,0.186907644,3.1e-06,-1.611971865,0.0,1.102386748,0.0,0.0,0.945011778
90,W01001789,Llandaff North 5,4,1567,727,2.16,1.105998852,0.0,0.016193235,0.117414536,0.245957229,3.26e-06,-1.577738852,0.0,1.059786728,0.0,0.0,0.967614992
91,W01001790,Llandaff North 6,2,1238,483,2.56,0.873244123,0.0,0.011564934,0.09276273,0.187442757,2.76e-06,-1.246484178,0.0,0.885584012,0.0,0.0,0.80411714
92,W01001791,Llanishen 1,5,1904,852,2.23,1.343847523,0.0,0.017351076,0.142665779,0.354695689,4.45e-06,-1.917048361,0.0,1.884589644,0.0,0.0,1.8261058
93,W01001792,Llanishen 2,2,1597,687,2.32,1.127173049,0.0,0.016339822,0.11966242,0.236120622,3.36e-06,-1.607944451,0.0,1.054098069,0.0,0.0,0.945452887
94,W01001793,Lisvane and Thornhill 3,5,1384,569,2.43,0.976233588,0.0,0.006500051,0.103702439,0.260692426,2.95e-06,-1.393484732,0.0,3.395952703,0.0,0.0,3.349599428
95,W01001794,Lisvane and Thornhill 4,5,1377,612,2.25,0.971295991,0.0,0.010536892,0.103177929,0.22568773,2.71e-06,-1.386436762,0.0,1.618655447,0.0,0.0,1.54291994
96,W01001795,Lisvane and Thornhill 5,5,1503,656,2.29,1.060172747,0.0,0.01138284,0.112619045,0.260806104,3.13e-06,-1.513300255,0.0,1.887242404,0.0,0.0,1.818926018
97,W01001796,Lisvane and Thornhill 6,5,1410,644,2.19,0.994573236,0.0,0.008641361,0.105650599,0.268188079,3.09e-06,-1.419662916,0.0,2.736609884,0.0,0.0,2.694003337
98,W01001797,Llanishen 7,5,1459,601,2.43,1.029136419,0.0,0.009052537,0.10932215,0.275814956,3.44e-06,-1.468998719,0.0,2.115499087,0.0,0.0,2.069829873
99,W01001798,Lisvane and Thornhill 7,5,1441,651,2.21,1.01643974,0.0,0.009669379,0.107973417,0.284497399,3.18e-06,-1.450875362,0.0,2.352826162,0.0,0.0,2.320533914
100,W01001799,Llanishen 9,5,1282,518,2.47,0.904285739,0.0,0.004708009,0.096059626,0.320469319,3.54e-06,-1.290785716,0.0,6.757075426,0.0,0.0,6.791815943
