,LSOA code,LSOA name (Eng),WIMD 2025 overall quintile,population,households,average_household_size,air_quality,congestion,dampness,diet_change,excess_cold,excess_heat,hassle_costs,noise,physical_activity,road_repairs,road_safety,sum
175,W01001878,Trowbridge 2,3,1676,625,2.68,1.182194788,0.0,0.018361508,0.12558185,0.191414245,3.21e-06,-1.687485849,0.0,1.316815891,0.0,0.0,1.14688564
176,W01001879,Trowbridge 3,1,1940,796,2.44,1.368411631,0.0,0.032971483,0.145363241,0.186206611,3.58e-06,-1.953295074,0.0,1.895604086,0.0,0.0,1.675265559
177,W01001880,Trowbridge 4,1,1682,611,2.75,1.186393434,0.0,0.021302292,0.126031426,0.083120055,2.06e-06,-1.693526966,0.0,1.336078436,0.0,0.0,1.059400736
178,W01001881,Trowbridge 5,1,1463,656,2.23,1.031951658,0.0,0.021374993,0.109621869,0.138704893,2.41e-06,-1.47302613,0.0,0.905135002,0.0,0.0,0.733764697
179,W01001882,Trowbridge 6,4,1819,757,2.4,1.283062246,0.0,0.020380882,0.136296771,0.242017068,3.6e-06,-1.831465848,0.0,2.239049365,0.0,0.0,2.089344082
180,W01001883,Trowbridge 7,1,1699,698,2.43,1.199141617,0.0,0.018911053,0.127305228,0.063253837,1.55e-06,-1.710643471,0.0,0.844027889,0.0,0.0,0.541997703
181,W01001884,Trowbridge 8,1,1453,525,2.77,1.024869001,0.0,0.015391399,0.108872574,0.049860895,1.38e-06,-1.4629576,0.0,0.975385482,0.0,0.0,0.711423136
182,W01001885,Trowbridge 9,1,2712,998,2.72,1.912966397,0.0,0.026860645,0.203208821,0.340892947,5.37e-06,-2.730585691,0.0,2.88383275,0.0,0.0,2.637181241
183,W01001886,Trowbridge 10,1,1365,527,2.59,0.9628125,0.0,0.016585646,0.102278777,0.067298295,1.6e-06,-1.374354527,0.0,0.840538598,0.0,0.0,0.615160887
184,W01001887,Whitchurch and Tongwynlais 1,5,1641,616,2.66,1.157513957,0.0,0.006097824,0.12295932,0.349685007,4.1e-06,-1.652245987,0.0,10.41180078,0.0,0.0,10.39581501
185,W01001888,Whitchurch and Tongwynlais 2,5,1651,689,2.4,1.164567668,0.0,0.012673129,0.123708613,0.292973972,3.75e-06,-1.662314519,0.0,1.778612475,0.0,0.0,1.710225084
186,W01001889,Whitchurch and Tongwynlais 3,4,1453,702,2.07,1.024897987,0.0,0.01083441,0.108872574,0.288351962,3.3e-06,-1.4629576,0.0,2.266529905,0.0,0.0,2.236532541
187,W01001890,Whitchurch and Tongwynlais 4,5,1541,604,2.55,1.086976848,0.0,0.010528118,0.115466367,0.26998941,3.59e-06,-1.551560676,0.0,1.854259255,0.0,0.0,1.785662911
188,W01001891,Whitchurch and Tongwynlais 5,4,1660,733,2.26,1.171638861,0.0,0.013370087,0.124382981,0.307856164,3.79e-06,-1.671376195,0.0,1.821845553,0.0,0.0,1.767721244
189,W01001892,Whitchurch and Tongwynlais 6,5,1452,598,2.43,1.024198823,0.0,0.006882505,0.108797641,0.291695916,3.43e-06,-1.461950742,0.0,4.177903306,0.0,0.0,4.147530879
190,W01001893,Whitchurch and Tongwynlais 7,3,1861,800,2.33,1.313505974,0.0,0.015139145,0.13944381,0.332790263,4.17e-06,-1.87375368,0.0,2.026368401,0.0,0.0,1.953498078
191,W01001894,Whitchurch and Tongwynlais 8,5,1520,645,2.36,1.072164056,0.0,0.01159586,0.113892848,0.284865329,3.6e-06,-1.530416758,0.0,1.915099056,0.0,0.0,1.867203989
192,W01001895,Whitchurch and Tongwynlais 9,2,1702,840,2.03,1.201282735,0.0,0.019821654,0.127530017,0.25683066,3.4e-06,-1.71366403,0.0,1.025847601,0.0,0.0,0.917652039
193,W01001896,Whitchurch and Tongwynlais 10,5,1457,604,2.41,1.027725679,0.0,0.007228441,0.10917229,0.294188601,3.43e-06,-1.466985012,0.0,4.145694677,0.0,0.0,4.117028103
194,W01001922,Cathays 9,3,2017,407,4.96,1.416483055,0.0,0.004383189,0.151132814,0.01039334,5.57e-07,-2.030822762,0.0,0.8403826,0.0,0.0,0.391952793
195,W01001940,Butetown 2,4,1085,667,1.63,0.764748648,0.0,0.013692168,0.081298513,0.028081032,6.4e-07,-1.092435647,0.0,0.527471199,0.0,0.0,0.322856554
196,W01001942,Butetown 3,1,1587,776,2.05,1.120092845,0.0,0.018177346,0.118913127,0.087117371,1.59e-06,-1.597875919,0.0,0.888131297,0.0,0.0,0.634557655
197,W01001943,Butetown 4,3,1267,647,1.96,0.889778896,0.0,0.012160885,0.094935685,0.021513363,6.2e-07,-1.275682915,0.0,0.54823341,0.0,0.0,0.290939944
198,W01001944,Butetown 5,4,1189,626,1.9,0.835001661,0.0,0.011105795,0.089091181,0.020098356,5.54e-07,-1.197148375,0.0,0.257084204,0.0,0.0,0.015233376
199,W01001946,Grangetown 11,1,1337,667,2.0,0.943630966,0.0,0.018213874,0.100180749,0.05354952,1.18e-06,-1.346162635,0.0,0.784396905,0.0,0.0,0.553810557
200,W01001947,Grangetown 12,2,1883,948,1.99,1.328988111,0.0,0.056776149,0.14109226,0.094185322,-2.02e-05,-1.895904449,0.0,0.957771778,0.0,0.0,0.682888991
201,W01001948,Radyr 3,5,2418,891,2.71,1.705587293,0.0,0.009288448,0.181179544,0.427646712,4.95e-06,-2.43457087,0.0,7.684080563,0.0,0.0,7.573216643
202,W01001949,Llanishen 11,3,1348,682,1.98,0.950834473,0.0,0.024597129,0.101004973,0.110344582,1.96e-06,-1.357238021,0.0,1.03626186,0.0,0.0,0.865806959
203,W01001950,Butetown 6,5,1165,597,1.95,0.820628345,0.0,0.013305641,0.087292875,0.029914334,7.47e-07,-1.172983899,0.0,0.535074147,0.0,0.0,0.31323219
204,W01001951,Butetown 7,3,1666,500,3.33,1.169985509,0.0,0.012505157,0.124832558,0.026625518,1.09e-06,-1.677417318,0.0,0.768060763,0.0,0.0,0.424593282
205,W01001952,Butetown 8,2,2055,644,3.19,1.449099495,0.0,0.012307784,0.153980133,0.035059465,1.17e-06,-2.069083184,0.0,1.287366114,0.0,0.0,0.86873098
206,W01001953,Llanishen 12,3,1507,634,2.38,1.062987799,0.0,0.012368263,0.112918765,0.260910981,3.37e-06,-1.517327665,0.0,1.522384957,0.0,0.0,1.454246468
207,W01001954,Radyr 4,5,1549,640,2.42,1.092619821,0.0,0.006029669,0.116065803,0.353604679,4.06e-06,-1.559615498,0.0,4.780918303,0.0,0.0,4.789626832
208,W01002016,Pontprennau and Old St Mellons 6,5,1557,536,2.9,1.098262785,0.0,0.007107481,0.116665241,0.258569235,3.25e-06,-1.567670325,0.0,3.333588703,0.0,0.0,3.246526368
209,W01002017,Pontprennau and Old St Mellons 7,4,1531,596,2.57,1.07992314,0.0,0.008505719,0.114717072,0.268936896,3.23e-06,-1.541492141,0.0,2.609928384,0.0,0.0,2.5405223
210,W01002018,Pontprennau and Old St Mellons 8,5,1478,566,2.61,1.04253847,0.0,0.006807042,0.11074581,0.271046399,3.13e-06,-1.488128929,0.0,3.733051303,0.0,0.0,3.676063221
211,W01002019,Cathays 12,3,3277,1150,2.85,2.28,0.0,0.0,0.24,0.0,0.0,-3.299457709,0.0,0.0,0.0,0.0,-0.779457709
212,W01002020,Splott 9,1,1599,624,2.56,1.127881547,0.0,0.020030341,0.11981228,0.160160096,2.81e-06,-1.609958156,0.0,1.236154167,0.0,0.0,1.05408308
213,W01002021,Splott 10,2,1493,651,2.29,1.053119036,0.0,0.022208534,0.11186975,0.152942759,2.632e-06,-1.503231724,0.0,1.326730833,0.0,0.0,1.16364182
214,W01002022,Canton 10,4,1444,555,2.6,1.018545002,0.0,0.013083588,0.108198206,0.136223274,2.17e-06,-1.453895922,0.0,1.164461732,0.0,0.0,0.986618054
215,W01002023,Canton 11,3,1828,688,2.66,1.289418353,0.0,0.013556387,0.136971134,0.240165891,3.48e-06,-1.840527522,0.0,1.499439127,0.0,0.0,1.339026849
216,W01002024,Grangetown 13,5,1058,701,1.51,0.746517774,0.0,0.015340712,0.079275416,0.034360748,6.88e-07,-1.065250613,0.0,0.57534829,0.0,0.0,0.385593015
217,W01002025,Grangetown 14,4,1122,627,1.79,0.790339059,0.0,0.01286167,0.084070905,0.029894605,6.82e-07,-1.129689213,0.0,0.59869475,0.0,0.0,0.386172458
