co-benefit_type,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,sum,population,households,LSOA code,LSOA name (Eng),WIMD 2025 overall rank ,WIMD 2025 overall decile,WIMD 2025 overall quintile
dampness,2.38e-08,2.43e-07,4.58e-07,0.0006115,0.000639267,0.000170562,3.06e-05,3.07e-05,3.08e-05,0.000629647,0.000625035,0.000788029,0.000648129,0.000620997,0.001030502,0.001037387,0.001029617,0.001021887,0.001014309,0.001006859,0.000999673,0.000992343,0.000985191,0.000978685,0.000971771,0.000965223,0.016859438,1581,669,W01001696,Adamsdown 3,147,1,1
diet_change,0.0,0.0,0.005585237,0.005612029,0.00557096,0.005509338,0.00544165,0.005372301,0.005302637,0.005233117,0.005163958,0.005095376,0.005027559,0.004960576,0.004894462,0.004829242,0.004764882,0.004701332,0.004638557,0.004576512,0.004515078,0.004454135,0.004393618,0.004333456,0.004273584,0.004213954,0.11846355,1581,669,W01001696,Adamsdown 3,147,1,1
excess_cold,2.36e-06,2.8e-05,5.13e-05,7.18e-05,0.000146909,0.000198309,0.000196252,0.000236773,0.000946391,0.000389005,0.001108299,0.001180862,0.001134613,0.001289221,0.001511083,0.001559071,0.001566564,0.001560483,0.001592039,0.001584368,0.002497912,0.002464892,0.00243299,0.002464818,0.002431746,0.002422439,0.031068499,1581,669,W01001696,Adamsdown 3,147,1,1
excess_heat,2.61e-10,-1.78e-09,3.73e-09,-2.11e-09,5.56e-10,-1.78e-08,3.09e-09,2.96e-08,2.43e-08,2.44e-09,7.73e-08,3.99e-08,7.75e-10,4.81e-08,4.29e-08,1.23e-07,5.3e-08,5.52e-08,5.82e-08,6e-08,6.32e-08,6.31e-08,6.31e-08,6.34e-08,6.31e-08,1.08e-07,1.02e-06,1581,669,W01001696,Adamsdown 3,147,1,1
hassle_costs,-0.032562871,-0.038863881,-0.044996108,-0.051103928,-0.057110112,-0.063003713,-0.063501475,-0.063966604,-0.064402512,-0.064804407,-0.065177518,-0.065466598,-0.06571948,-0.065932155,-0.06610613,-0.066236476,-0.06619206,-0.066107586,-0.065982849,-0.065822366,-0.065635609,-0.065331354,-0.06500193,-0.064649084,-0.064273285,-0.06388471,-1.591834801,1581,669,W01001696,Adamsdown 3,147,1,1
noise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1581,669,W01001696,Adamsdown 3,147,1,1
physical_activity,0.007598225,0.010817724,0.013227947,0.015193702,0.016971385,0.018722412,0.019474665,0.020201205,0.02088386,0.021550285,0.022275528,0.022871361,0.023446134,0.024008989,0.024553361,0.025127765,0.025582262,0.025995823,0.026396441,0.026768136,0.027156271,0.027424348,0.027666006,0.027899928,0.028120384,0.02838765,0.578321797,1581,669,W01001696,Adamsdown 3,147,1,1
road_repairs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1581,669,W01001696,Adamsdown 3,147,1,1
road_safety,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1581,669,W01001696,Adamsdown 3,147,1,1
sum,-0.021670248,-0.02382647,-0.020745078,-0.022675327,-0.024867844,-0.026622131,-0.023312361,-0.018638914,-0.012829208,-0.007753444,-0.001357559,0.004206292,0.009175308,0.014313323,0.019706606,0.024352748,0.028399286,0.032092001,0.035455894,0.038365636,0.041800143,0.043464572,0.044064626,0.044189267,0.044219337,0.044353872,0.263860328,1581,669,W01001696,Adamsdown 3,147,1,1
